State,Governor,Party,State Senate Democrats,State Senate Republicans,State Senate Majority,State Senate Majority %,State House Democrats,State House Republicans,State House Majority,State House Majority %,Party Control,Median Income,State GDP (2022) (in millions),Gini Coefficient 2019,Gini Coefficient 2015-2019,Population (2022),Life Expectancy 2019,Life Expectancy 2019 Male,Life Expectancy 2019 Female,Sick Leave Policy,"Number of Doctors per 100,000 resident population",Total Education Funding (in thousands),Population over the age of 25,With a High School Diploma or higher,With a Bachelor's Degree or higher,With an Advanced Degree,Number in Poverty,Poverty Rate (%),Incarcerated Total,Incarceration Rate,Total Violent Crimes (2020),"Total Violent Crimes Occurred per 100,000",Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days
Hawaii,Josh Green,Democrat,23,2,Democrat,92%,45,6,Democrat,88%,Democrat,"$83,200","98,219",0.4397,0.4414,"1,440,196",81.6,78.6,84.6,Hawaii does not require paid sick leave.[8],300.92,"$3,241,890",1021687,949476,360681,133832,"127,971",9.26%,"5,400",0.37%,"3,576",254.2,112.333333,35,22,98.25%,1.40%,0.18%,0.18%,0.00%,0.00%
Idaho,Brad Little,Republican,7,28,Republican,80%,11,59,Republican,84%,Republican,"$76,918","109,546",0.4337,0.4462,"1,939,033",79.6,77.7,81.5,Idaho does not require paid sick leave.[8],188.43,"$2,976,394",1257566,1147653,386264,132502,"205,676",11.94%,"12,100",0.62%,"4,432",242.6,112.666667,73.3888889,26.4444444,88.91%,9.91%,0.21%,0.03%,0.00%,0.94%
Illinois,J. B. Pritzker,Democrat,40,19,Democrat,68%,78,39,Democrat,67%,Democrat,"$65,030","1,033,310",0.48,0.4821,"12,582,032",79.3,76.7,81.8,"Starting January 1, 2024, all employees will be entitled to one hour of paid leave for every 40 hours worked and can accrue up to 40 hours per year. Leave can be used for any reason.[21] In addition, Cook County and its county seat of Chicago have local paid sick leave laws, although some municipalities have opted out. In those two localities, anyone, except government employees and some construction workers, who works more than 80 hours within 120 days can earn one hour off for every 40 hours worked. The maximum time off is 40 hours a year.[8]",287.09,"$41,353,614",8730697,7872693,3242579,1310297,"1,488,670",11.99%,"55,800",0.44%,"53,612",425.9,185,83,46,62.95%,30.84%,5.26%,0.78%,0.17%,0.00%
Indiana,Eric Holcomb,Republican,10,38,Republican,79%,30,70,Republican,70%,Republican,"$62,743","455,750",0.4584,0.4526,"6,833,037",77.1,74.6,79.6,Indiana does not require paid sick leave and preempts local government from requiring it.[8][9],227.39,"$14,217,241",4559631,4132897,1316787,473718,"838,149",12.91%,"46,300",0.68%,"24,161",357.7,162.575758,70,42.1515152,71.56%,25.03%,2.93%,0.42%,0.05%,0.00%
Iowa,Kim Reynolds,Republican,16,34,Republican,68%,36,64,Republican,64%,Republican,"$61,691","231,108",0.4422,0.4416,"3,200,517",79.1,76.6,81.7,Iowa does not require paid sick leave and preempts local government from requiring it.[8][9],215.3,"$8,261,513",2137261,1994595,652742,210864,"339,090",11.11%,"14,000",0.44%,"9,601",303.5,156.0625,72.0625,42,62.57%,33.07%,3.39%,0.94%,0.03%,0.00%
Kansas,Laura Kelly,Democrat,11,29,Republican,73%,40,85,Republican,68%,Mixed,"$56,422","210,670",0.45,0.4563,"2,937,150",78.3,76,80.6,Kansas does not require paid sick leave and preempts local government from requiring it.[8][9],252.75,"$7,765,320",1942133,1784711,687452,259988,"323,644",11.44%,"18,000",0.61%,"12,835",425,131,67,39.5,67.61%,30.20%,2.03%,0.17%,0.00%,0.00%
Kentucky,Andy Beshear,Democrat,7,31,Republican,82%,20,80,Republican,80%,Mixed,"$52,295","260,304",0.4764,0.4786,"4,512,310",75.6,73.1,78.2,Kentucky does not require paid sick leave and preempts local government from requiring it.[8][9],241.2,"$9,360,399",3077867,2708147,830414,341868,"717,895",16.61%,"37,500",0.83%,"11,600",259.1,132.68,69.68,43,74.84%,22.98%,1.94%,0.24%,0.00%,0.00%
Louisiana,John Bel Edwards,Democrat,12,27,Republican,69%,33,71,Republican,68%,Mixed,"$49,973","281,429",0.4978,0.4953,"4,590,241",76,73.1,78.8,Louisiana does not require paid sick leave and preempts local government from requiring it.[8][9],276.63,"$9,720,100",3117186,2701889,824369,300894,"845,230",18.65%,"45,700",1.00%,"29,704",639.4,112.727273,62,39.6363636,74.35%,24.50%,1.11%,0.04%,0.00%,0.00%
Maine,Janet Mills,Democrat,22,13,Democrat,63%,80,60,Democrat,57%,Democrat,"$56,277","84,497",0.449,0.4511,"1,385,340",78.4,75.9,81,"Companies with 10 or more employees are required to give employees one hour of paid leave for every 40 hours worked. Leave can be used for any purpose, but planned leave required 4 weeks notice. Only 40 hours can be used a year, with unused hours carrying over. Employers are only required to allow workers to take time off after being employed for 120 days.[8]",325.49,"$3,572,257",1015078,959533,365305,140318,"144,384",11.07%,"4,000",0.29%,"1,466",108.6,91.6363636,51.3636364,37.2727273,89.75%,10.14%,0.11%,0.00%,0.00%,0.00%
Maryland,Wes Moore,Democrat,34,13,Democrat,72%,102,39,Democrat,72%,Democrat,"$87,063","470,187",0.4558,0.4535,"6,164,660",79,76.2,81.7,"Companies with 25 or more employees are required to give anyone who works over 12 hours a week paid sick leave. Workers earn 1 hour of paid sick leave every 30 hours and can use up to 40 hours a year. Unused time can be carried over, but employers can limit the number of accrued hours to 64. Local governments are preempted from putting into place more expansive requirements, but this seems to be unenforced, as Montgomery County grants up to 56 hours of paid sick leave to anyone who works more than 8 hours a week and for a company with more than 5 employees.[8]",363.63,"$17,412,231",4273260,3892442,1818202,861669,"531,553",9.02%,"27,600",0.45%,"24,215",399.9,162.9375,68.8125,42.9375,76.85%,20.63%,1.54%,0.95%,0.03%,0.00%
Massachusetts,Maura Healey,Democrat,36,3,Democrat,92%,125,27,Democrat,82%,Democrat,"$89,026","688,392",0.4803,0.4826,"6,981,974",80.7,78.1,83.1,Most employees who work for companies with more than 11 employees are entitled to 40 hours of paid sick leave after being employed for 90 days.[8],435.38,"$20,734,622",4934755,4495563,2300423,1049675,"653,454",9.85%,"17,600",0.25%,"21,288",308.8,130.076923,54.2307692,40.2307692,85.80%,12.58%,1.41%,0.21%,0.00%,0.00%
Michigan,Gretchen Whitmer,Democrat,20,18,Democrat,53%,54,54,Equal,50%,Mixed,"$54,900","620,696",0.4634,0.4669,"10,034,113",78.1,75.7,80.4,"In 2015, Michigan preempted local governments from requiring paid sick leave,[9] but in 2018, they passed a law requiring paid sick leave for companies with 50 or more employees. Workers earn one hour of sick leave for every 35 hours worked. Up to 40 hours can be earned, but it can only be used after being employed 90 days.[8]",303.71,"$23,752,136",6971895,6411597,2208170,870008,"1,337,256",13.71%,"54,500",0.54%,"47,641",478,165.307692,80.3461538,42.5769231,69.27%,25.80%,3.64%,1.24%,0.05%,0.00%
Minnesota,Tim Walz,Democrat,34,33,Democrat,51%,70,64,Democrat,52%,Democrat,"$74,593","446,500",0.4434,0.4494,"5,717,184",80.6,78.4,82.8,"Starting January 1, 2024, all employees will be entitled to one hour of paid sick leave for every 30 hours worked and can accrue up to 48 hours per year.[20] In Duluth, companies with at least 5 employees are required to give workers up to 40 hours of sick leave per year. In Minneapolis, employees who work more than 80 hours are guaranteed 48 hours of sick leave, if they work for a company with 6 or more employees. In St. Paul, employees who work more than 80 hours are entitled to up 48 hours a year.[8]",307.13,"$14,521,148",3898742,3669895,1516426,522543,"511,185",9.33%,"15,900",0.28%,"15,698",277.5,156.75,79,38.95,72.07%,23.37%,3.70%,0.87%,0.00%,0.00%
Mississippi,Tate Reeves,Republican,16,36,Republican,69%,40,77,Republican,66%,Republican,"$43,567","138,740",0.4896,0.4807,"2,940,057",74.5,71.4,77.7,Mississippi does not require paid sick leave and preempts local government from requiring it.[8][9],194.14,"$5,339,338",1968167,1702178,487663,184007,"564,439",19.58%,"27,500",0.94%,"8,638",291.2,107.5,62.1,42.5,74.24%,24.82%,0.93%,0.00%,0.00%,0.00%
Missouri,Mike Parson,Republican,10,24,Republican,71%,51,111,Republican,69%,Republican,"$53,578","389,931",0.4633,0.4641,"6,177,957",77.2,74.4,80,Missouri does not require paid sick leave and preempts local government from requiring it.[8][9],276.54,"$13,046,861",4394597,3960123,1262482,466893,"772,992",13.01%,"43,000",0.70%,"33,385",542.7,135.263158,88.6315789,48.0526316,58.69%,35.06%,6.04%,0.22%,0.00%,0.00%
Montana,Greg Gianforte,Republican,16,34,Republican,68%,32,68,Republican,68%,Republican,"$56,539","65,015",0.4597,0.4594,"1,122,867",78.6,76.4,81,Montana does not require paid sick leave.[8],243.31,"$2,284,990",753644,701347,246688,85389,"132,476",12.78%,"6,200",0.55%,"5,077",469.8,134.611111,51.7222222,30.3333333,86.17%,12.55%,0.94%,0.31%,0.03%,0.00%
